"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Durée du voyage";"Raison principale du voyage";"Statistiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018-01";"États-Unis";"";"Total, toutes les durées";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335344";"3.1.7.1";"309";"B";"";"";"0"
"2018-01";"États-Unis";"";"Total, toutes les durées";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335347";"3.1.8.1";"458";"B";"";"";"0"
"2018-01";"États-Unis";"";"Même jour";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335317";"3.2.1.1";"2544";"A";"";"";"0"
"2018-01";"États-Unis";"";"Même jour";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335364";"3.2.2.1";"889";"B";"";"";"0"
"2018-01";"États-Unis";"";"Même jour";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335369";"3.2.3.1";"386";"B";"";"";"0"
"2018-01";"États-Unis";"";"Même jour";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335374";"3.2.4.1";"42";"E";"";"";"0"
"2018-01";"États-Unis";"";"Même jour";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335379";"3.2.5.1";"869";"B";"";"";"0"
"2018-01";"États-Unis";"";"Même jour";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335384";"3.2.6.1";"120";"C";"";"";"0"
"2018-01";"États-Unis";"";"Même jour";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335389";"3.2.7.1";"30";"D";"";"";"0"
"2018-01";"États-Unis";"";"Même jour";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335394";"3.2.8.1";"209";"C";"";"";"0"
"2018-01";"États-Unis";"";"Une nuit ou plus";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335319";"3.3.1.1";"3630";"A";"";"";"0"
"2018-01";"États-Unis";"";"Une nuit ou plus";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335366";"3.3.2.1";"2088";"A";"";"";"0"
"2018-01";"États-Unis";"";"Une nuit ou plus";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335371";"3.3.3.1";"793";"B";"";"";"0"
"2018-01";"États-Unis";"";"Une nuit ou plus";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335376";"3.3.4.1";"61";"C";"";"";"0"
"2018-01";"États-Unis";"";"Une nuit ou plus";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335381";"3.3.5.1";"85";"C";"";"";"0"
"2018-01";"États-Unis";"";"Une nuit ou plus";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335386";"3.3.6.1";"74";"C";"";"";"0"
"2018-01";"États-Unis";"";"Une nuit ou plus";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335391";"3.3.7.1";"279";"B";"";"";"0"
"2018-01";"États-Unis";"";"Une nuit ou plus";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335396";"3.3.8.1";"249";"B";"";"";"0"
"2018-01";"Outre-mer";"";"Total, toutes les durées";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335313";"4.1.1.1";"3302";"A";"";"";"0"
"2018-01";"Outre-mer";"";"Total, toutes les durées";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335330";"4.1.2.1";"2315";"A";"";"";"0"
"2018-01";"Outre-mer";"";"Total, toutes les durées";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335333";"4.1.3.1";"678";"B";"";"";"0"
"2018-01";"Outre-mer";"";"Total, toutes les durées";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335336";"4.1.4.1";"8";"E";"";"";"0"
"2018-01";"Outre-mer";"";"Total, toutes les durées";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335339";"4.1.5.1";"5";"E";"";"";"0"
"2018-01";"Outre-mer";"";"Total, toutes les durées";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335342";"4.1.6.1";"95";"D";"";"";"0"
"2018-01";"Outre-mer";"";"Total, toutes les durées";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335345";"4.1.7.1";"83";"C";"";"";"0"
"2018-01";"Outre-mer";"";"Total, toutes les durées";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335348";"4.1.8.1";"117";"C";"";"";"0"
"2018-01";"Outre-mer";"";"Une nuit ou plus";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335320";"4.3.1.1";"3302";"A";"";"";"0"
"2018-01";"Outre-mer";"";"Une nuit ou plus";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335367";"4.3.2.1";"2315";"A";"";"";"0"
"2018-01";"Outre-mer";"";"Une nuit ou plus";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335372";"4.3.3.1";"678";"B";"";"";"0"
"2018-01";"Outre-mer";"";"Une nuit ou plus";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335377";"4.3.4.1";"8";"E";"";"";"0"
"2018-01";"Outre-mer";"";"Une nuit ou plus";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335382";"4.3.5.1";"5";"E";"";"";"0"
"2018-01";"Outre-mer";"";"Une nuit ou plus";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335387";"4.3.6.1";"95";"D";"";"";"0"
"2018-01";"Outre-mer";"";"Une nuit ou plus";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335392";"4.3.7.1";"83";"C";"";"";"0"
"2018-01";"Outre-mer";"";"Une nuit ou plus";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335397";"4.3.8.1";"117";"C";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Total, toutes les durées";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335310";"1.1.1.1";"78017";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Total, toutes les durées";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335321";"1.1.2.1";"28404";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Total, toutes les durées";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335322";"1.1.3.1";"29480";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Total, toutes les durées";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335323";"1.1.4.1";"1716";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Total, toutes les durées";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335324";"1.1.5.1";"5018";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Total, toutes les durées";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335325";"1.1.6.1";"5440";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Total, toutes les durées";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335326";"1.1.7.1";"2376";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Total, toutes les durées";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335327";"1.1.8.1";"5585";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Même jour";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335314";"1.2.1.1";"48773";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Même jour";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335349";"1.2.2.1";"15986";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Même jour";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335351";"1.2.3.1";"18093";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Même jour";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335353";"1.2.4.1";"1119";"C";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Même jour";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335355";"1.2.5.1";"4635";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Même jour";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335357";"1.2.6.1";"4140";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Même jour";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335359";"1.2.7.1";"980";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Même jour";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335361";"1.2.8.1";"3821";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Une nuit ou plus";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335315";"1.3.1.1";"29244";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Une nuit ou plus";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335350";"1.3.2.1";"12418";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Une nuit ou plus";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335352";"1.3.3.1";"11387";"A";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Une nuit ou plus";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335354";"1.3.4.1";"597";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Une nuit ou plus";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335356";"1.3.5.1";"383";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Une nuit ou plus";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335358";"1.3.6.1";"1300";"B";"";"";"0"
