"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Motif principal du voyage";"Durée de voyage";"Statistiques de voyage";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif professionnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320250";"1.10.1.2";"5277";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif professionnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320251";"1.10.2.1";"3902";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif professionnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320252";"1.10.2.2";"3704";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif professionnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320253";"1.10.3.1";"1641";"B";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Autre motif professionnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320254";"1.10.3.2";"1573";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Tous les motifs principaux de voyage";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320255";"2.1.1.1";"67853";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Tous les motifs principaux de voyage";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320256";"2.1.1.2";"56320";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Tous les motifs principaux de voyage";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320257";"2.1.2.1";"47081";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Tous les motifs principaux de voyage";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320258";"2.1.2.2";"39132";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Tous les motifs principaux de voyage";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320259";"2.1.3.1";"20772";"A";"";"";"0"
